last_name,site_id,sample,siteid_sample,substrate,landcover,landcover_details,burn_hx,burn_year,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,hg_ng,hg_ngg,hg_mg_m2
Melton,FN2,33,FN2_33,soil,fen,fen,u,NA,61.27085,-163.24286,0.9317,0.454,16.52,0.0242,31,3.41,3.252,70.041,0.50849766
Melton,FN2,34,FN2_33,soil,fen,fen,u,NA,61.27086,-163.24278,0.9425,0.456,12.43,0.0353,32,5.15,2.048,49.564,0.52488276
Melton,FN2,35,FN2_33,soil,fen,fen,u,NA,61.27088,-163.24266,0.9047,0.509,8.92,0.0452,30,6.9,5.358,97.649,1.32412044
Melton,LK P2,7,LK P2_7,soil,peat plateau,peat plateau,u,NA,61.25691,-163.23877,0.8689,0.457,6.96,0.0522,33,7.87,6.722,99.218,1.55375388
Melton,LK P2,8,LK P2_8,soil,peat plateau,peat plateau,u,NA,61.25685,-163.23856,0.8871,0.43,7.34,0.0428,26,4.79,8.967,164.744,2.11531296
Melton,LK P2,9,LK P2_8,soil,peat plateau,peat plateau,u,NA,61.2568,-163.2384,0.8104,0.415,4.72,0.0963,37,14.77,4.945,105.73,3.0545397
Melton,LK20,1,LK20_1,soil,peat plateau,degraded,u,NA,61.26082,-163.24644,0.8774,0.472,3.35,0.1501,32,22.69,5.416,105.452,4.74850356
Melton,LK20,2,LK20_1,soil,peat plateau,degraded,u,NA,61.2608,-163.24672,0.891,0.464,NA,0.0644,34,10.16,7.542,101.059,1.95245988
Melton,LK20,3,LK20_1,soil,peat plateau,degraded,u,NA,61.26079,-163.24693,0.8528,0.466,6.83,0.0778,31,11.25,4.667,85.247,1.98966498
Melton,LK21,4,LK21_4,soil,peat plateau,tussocks,u,NA,61.26027,-163.24229,0.9051,0.452,5.79,0.0602,30,8.17,9.68,183.856,3.32043936
Melton,LK21,5,LK21_4,soil,peat plateau,tussocks,u,NA,61.26023,-163.24246,0.9227,0.452,6.54,0.0503,35,7.96,8.862,155.72,2.3498148
Melton,LK21,6,LK21_6,soil,peat plateau,tussocks,u,NA,61.26008,-163.24261,0.9411,0.493,5.83,0.052,24,6.15,15.603,261.839,4.0846884
Melton,LP1,18,LP1_18,soil,peat plateau,lichen,u,NA,61.23603,-163.24648,0.8476,0.436,3.73,0.1082,24,11.31,6.617,115.46,3.7478316
Melton,LP1,19,LP1_18,soil,peat plateau,lichen,u,NA,61.236,-163.24629,0.9097,0.443,8.9,0.0696,35,10.79,9.647,110.479,2.30680152
Melton,LP1,20,LP1_18,soil,peat plateau,lichen,u,NA,61.23598,-163.24619,0.5876,0.399,2.28,0.2266,26,23.51,8.266,110.508,7.51233384
Melton,NH,10,U1_50,soil,peat plateau,lichen,u,NA,61.25817,-163.24725,0.9129,0.461,7.82,0.0579,32,8.55,6.044,120.832,2.09885184
Melton,NH,11,U1_49,soil,peat plateau,lichen,u,NA,61.25824,-163.24733,0.8369,0.468,4.03,0.1087,27,13.72,10.77,133.706,4.36015266
Melton,NH,12,U1_49,soil,peat plateau,lichen,u,NA,61.25838,-163.24745,0.8749,0.451,3.16,0.0945,33,14.05,11.205,145.878,4.1356413
Melton,P1,21,P1_21,soil,peat plateau,lichen,u,NA,61.23466,-163.25591,0.8062,0.392,3.62,0.1341,33,17.35,8.198,126.387,5.08454901
Melton,P1,22,P1_21,soil,peat plateau,lichen,u,NA,61.23466,-163.25575,0.2551,0.113,1.36,0.4197,31,14.65,7.991,79.064,9.95494824
Melton,P1,23,P1_23,soil,peat plateau,lichen,u,NA,61.23465,-163.25557,0.8254,0.417,6.47,0.0912,31,11.78,7.361,121.389,3.32120304
Melton,RP1,24,RP1_24,soil,peat plateau,river adjacent,u,NA,61.23893,-163.25862,0.7603,0.438,3.15,0.1932,26,22.01,8.411,142.318,8.24875128
