date_anlyzd,name,mass_mg,hg_ng,hg_ngg
2022-10-04,90,84.270,12.096,143.539
2022-10-04,97,57.340,3.346,58.354
2022-10-04,98,47.820,11.027,230.594
2022-10-04,99,54.040,2.392,44.264
2022-10-04,100,79.420,11.312,142.433
2022-10-04,101,52.150,3.374,64.698
2022-10-04,102,60.040,9.609,160.043
2022-10-04,blank,0.000,-0.013,
2022-10-04,mess4,97.310,7.676,78.882
2022-10-04,MM22,57.190,15.280,267.180
2022-10-04,MM24,57.890,17.995,310.848
2022-10-04,MM25,52.580,13.443,255.668
2022-10-04,MM27,63.320,9.339,147.489
2022-10-04,MM28,72.540,16.933,233.430
2022-10-04,MM36,53.990,16.672,308.798
2022-10-04,MM38,60.860,21.801,358.216
2022-10-04,MM39,58.830,9.567,162.621
2022-10-04,blank,0.000,-0.009,
2022-10-04,mess4,97.730,7.795,79.761
2022-10-04,MM41,52.300,14.583,278.834
2022-10-04,MM42,40.220,9.388,233.416
2022-10-04,MM44,52.470,7.813,148.904
2022-10-04,MM47,76.020,19.595,257.761
2022-10-04,MM48,57.240,19.493,340.549
2022-10-04,MM49,51.200,6.817,133.145
2022-10-04,MM51,51.700,13.359,258.395
2022-10-04,MM53,47.390,11.896,251.023
2022-10-04,blank,0.000,-0.006,
2022-10-04,mess4,93.260,7.460,79.991
2022-10-04,MM54,45.450,8.935,196.590
2022-10-04,MM55,72.830,48.582,667.060
2022-10-04,MM58,72.030,21.410,297.237
2022-10-04,MM60,52.860,7.385,139.709
2022-10-06,MM62,75.780,8.407,110.940
2022-10-06,MM64,46.120,12.744,276.323
2022-10-06,MM65,58.100,6.490,111.704
2022-10-06,MM66,60.410,9.856,163.152
2022-10-06,blank,0.000,0.002,
2022-10-06,mess4,99.390,7.729,77.764
2022-10-06,MM72,64.030,20.482,319.881
2022-10-06,MM73,85.120,14.699,172.686
2022-10-06,MM74,75.880,18.259,240.630
2022-10-06,MM75,69.970,24.706,353.094
2022-10-06,MM76,69.460,12.965,186.654
2022-10-06,MM77,53.430,6.269,117.331
2022-10-06,MM79,48.430,4.256,87.879
2022-10-06,MM81,69.310,9.852,142.144
2022-10-06,blank,0.000,0.003,
2022-10-06,mess4,99.530,7.763,77.997
2022-10-06,MM86,67.630,4.775,70.605
2022-10-06,MM89,50.250,8.530,169.751
2022-10-06,MM90,49.600,11.738,236.653
2022-10-06,MM91,64.710,11.045,170.685
2022-10-06,MM92,67.360,10.964,162.767
2022-10-06,MM93,72.070,11.284,156.570
2022-10-06,MM96,88.350,38.188,432.235
2022-10-06,MM97,61.420,7.933,129.160
2022-10-06,blank,0.000,0.007,
2022-10-06,mess4,94.590,7.443,78.687
2022-10-06,MM99,55.380,12.029,217.208
2022-10-06,MM100,54.730,16.672,304.623
2022-10-06,MM101,44.410,5.250,118.217
2022-10-06,MM102,76.540,17.851,233.224
2022-10-06,MM103,55.290,8.175,147.857
2022-10-06,MM104,79.430,21.994,276.898
2022-10-06,AM1,43.360,9.824,226.568
2022-10-06,AM2,60.740,8.055,132.614
2022-10-06,blank,0.000,-0.010,
2022-10-06,mess4,95.550,7.482,78.305
2022-10-06,AM8,45.800,4.942,107.904
2022-10-06,AM9,54.300,5.363,98.766
2022-10-06,AM10,64.230,12.715,197.960
2022-10-06,AM11,64.830,5.838,90.051
2022-10-06,AM19,51.550,5.579,108.225
2022-10-06,AM20,50.860,6.737,132.462
2022-10-06,AM21,46.320,7.216,155.786
2022-10-06,AM22,47.210,8.150,172.633
2022-10-06,blank,0.000,-0.007,
2022-10-06,mess4,97.210,7.663,78.829
2022-10-06,AM24,56.420,4.367,77.402
2022-10-06,AM25,55.470,2.322,41.860
2022-10-06,AM26,43.790,1.647,37.611
2022-10-06,AM27,44.430,1.031,23.205
2022-10-11,AM28,49.400,4.266,86.356
2022-10-11,AM29,91.350,12.969,141.970
2022-10-11,AM30,127.330,7.929,62.271
2022-10-11,AM31,84.290,5.584,66.247
2022-10-11,blank,0.000,-0.009,
2022-10-11,mess4,96.520,7.719,79.973
2022-10-11,AM47,61.080,4.280,70.072
2022-10-11,AM48,70.290,5.647,80.339
2022-10-11,AM49,91.940,6.080,66.130
2022-10-11,AM50-1,87.760,6.761,77.040
2022-10-11,AM50-2,62.800,3.957,63.010
2022-10-11,AM51-1,66.380,3.906,58.843
2022-10-11,AM51-2,78.770,4.693,59.579
2022-10-11,AM52-1,78.580,4.986,63.451
2022-10-11,blank,0.000,-0.013,
2022-10-11,mess4,98.780,8.003,81.018
2022-10-11,AM53,67.180,9.572,142.483
2022-10-11,AM54,85.480,9.234,108.025
2022-10-11,AM55,51.880,5.409,104.260
2022-10-11,AM56-1,74.400,9.241,124.207
2022-10-11,AM56-2,56.090,3.159,56.320
2022-10-11,AM57,50.090,4.763,95.089
2022-10-11,AM59,53.630,3.642,67.910
2022-10-11,AM60,49.770,2.519,50.613
2022-10-11,blank,0.000,-0.012,
2022-10-11,mess4,92.170,7.562,82.044
