n,last_name,year,vial_num,vial_n,landcover,landcover_details,substrate,substrate_type,site_code,sample_id,site_id,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,burn_hx,burn_year
4,Moubarak,2019,MM38,NA,NA,NA,soil,NA,D2,D2C2,D2,61.26457,-163.24841,0.8481,0.38,0.7651,0.0511,13,2.53,b,2015
6,Moubarak,2019,MM41,NA,NA,NA,soil,NA,D2,D2C1,D2,61.26457,-163.24841,0.9096,0.432,0.8285,0.0158,23,1.57,b,2015
5,Moubarak,2019,MM52,NA,NA,NA,soil,NA,D2,D2C3,D2,61.26457,-163.24841,0.8662,0.375,0.819,0.0272,20.5,2.09,b,2015
7,Moubarak,2019,MM54,NA,NA,NA,soil,NA,D2,D2C1,D2,61.26457,-163.24841,0.951,0.363,0.8393,0.0148,23,1.24,b,2015
9,Moubarak,2019,MM25,NA,NA,NA,soil,NA,D3,D3C1,D3,61.26459,-163.24919,0.9274,0.391,0.8301,0.0274,23,2.46,b,2015
10,Moubarak,2019,MM27,NA,NA,NA,soil,NA,D3,D3C3,D3,61.26459,-163.24919,0.9363,0.398,0.865,0.0325,17.5,2.26,b,2015
8,Moubarak,2019,MM51,NA,NA,NA,soil,NA,D3,D3C2,D3,61.26459,-163.24919,0.9089,0.413,0.8137,0.0382,14,2.21,b,2015
13,Moubarak,2019,MM62,NA,NA,NA,soil,NA,D4,D4C1,D4,61.26473,-163.24979,0.8183,0.282,0.8109,0.0396,20,2.24,b,2015
11,Moubarak,2019,MM86,NA,NA,NA,soil,NA,D4,D4C2,D4,61.26473,-163.24979,0.3321,0.2,0.6515,0.2428,12,5.82,b,2015
12,Moubarak,2019,MM96,NA,NA,NA,soil,NA,D4,D4C3,D4,61.26473,-163.24979,0.5878,0.381,0.7541,0.2347,5,4.47,b,2015
14,Moubarak,2019,MM60,NA,NA,NA,soil,NA,D5,D5C3,D5,61.26559,-163.25044,0.8096,0.384,0.7925,0.0669,15,3.86,b,2015
15,Moubarak,2019,MM81,NA,NA,NA,soil,NA,D5,D5C1,D5,61.26559,-163.25044,0.9305,0.414,0.8261,0.0391,15.5,2.51,b,2015
16,Moubarak,2019,MM82,NA,NA,NA,soil,NA,D5,D5C2,D5,61.26559,-163.25044,0.9021,0.439,0.8342,0.0636,15,4.19,b,2015
19,Moubarak,2019,MM77,NA,NA,NA,soil,NA,D6,D6C3,D6,61.26546,-163.25031,0.9332,0.451,0.868,0.0348,21,3.3,b,2015
17,Moubarak,2019,MM93,NA,NA,NA,soil,NA,D6,D6C1,D6,61.26546,-163.25031,0.8993,0.426,0.7869,0.0546,18.5,4.3,b,2015
18,Moubarak,2019,MM97,NA,NA,NA,soil,NA,D6,D6C2,D6,61.26546,-163.25031,0.8658,0.43,0.8102,0.0601,19,4.9,b,2015
188,Melton,2017,13,NA,drained lake,drained lake,sediment,NA,DL1,DL1 B25 (DL5),DL1,61.25872,-163.23576,0.8227,0.416,7.08,0.0375,23,3.59,u,NA
189,Melton,2017,14,NA,drained lake,drained lake,sediment,NA,DL1,DL1 A25 (DL4),DL1,61.25877,-163.23569,0.3678,0.21,2.74,0.2118,24,10.65,u,NA
223,Melton,2017,SM DL1 A,NA,drained lake,drained lake,sediment,NA,DL1,DL1 C25 (DL6),DL1,61.25866,-163.23582,0.3863,0.207,1.87,0.1513,29,9.07,u,NA
220,Melton,2017,45,NA,drained lake,drained lake,sediment,NA,DL2,DL2 A7,DL2,61.25142,-163.25493,NA,0.472,10.06,0.0326,30,4.61,u,NA
221,Melton,2017,46,NA,drained lake,drained lake,sediment,NA,DL2,DL2 B6,DL2,61.25146,-163.25505,0.9272,0.486,14.58,0.042,33,6.74,u,NA
222,Melton,2017,47,NA,drained lake,drained lake,sediment,NA,DL2,DL2 C5,DL2,61.2515,-163.25516,0.929,0.5,8.66,0.0682,29,9.89,u,NA
190,Melton,2017,15,NA,fen,fen,soil,NA,FN1,FN1 A20,FN1,61.25898,-163.24026,0.3308,0.171,2.22,0.2024,25,8.64,u,NA
191,Melton,2017,16,NA,fen,fen,soil,NA,FN1,FN1 B25,FN1,61.2589,-163.2403,0.2315,0.144,1.54,0.3893,26,14.62,u,NA
192,Melton,2017,17,NA,fen,fen,soil,NA,FN1,FN1 C25,FN1,61.25885,-163.24031,0.2035,0.096,1.11,NA,34,NA,u,NA
208,Melton,2017,33,NA,fen,fen,soil,NA,FN2,FN2 A20,FN2,61.27085,-163.24286,0.9317,0.454,16.52,0.0242,31,3.41,u,NA
209,Melton,2017,34,NA,fen,fen,soil,NA,FN2,FN2 B20,FN2,61.27086,-163.24278,0.9425,0.456,12.43,0.0353,32,5.15,u,NA
210,Melton,2017,35,NA,fen,fen,soil,NA,FN2,FN2 C20,FN2,61.27088,-163.24266,0.9047,0.509,8.92,0.0452,30,6.9,u,NA
214,Melton,2017,39,NA,fen,fen,soil,NA,FN3,FN3 A20,FN3,61.28803,-163.26111,0.563,0.327,4.3,0.0631,32,6.6,b,2015
215,Melton,2017,40,NA,fen,fen,soil,NA,FN3,FN3 B20,FN3,61.28805,-163.26108,0.4556,0.193,3.23,NA,27,NA,b,2015
216,Melton,2017,41,NA,fen,fen,soil,NA,FN3,FN3 B0,FN3,61.28792,-163.26086,0.3464,0.196,2.64,0.0539,34,3.59,b,2015
202,Melton,2017,27,NA,peat plateau,high intensity burn,soil,NA,HI1,HI1 A27,HI1,61.27073,-163.23526,0.2004,0.073,0.97,NA,NA,NA,b,2015
203,Melton,2017,28,NA,peat plateau,high intensity burn,soil,NA,HI1,HI1 B30,HI1,61.27075,-163.23495,0.2498,0.106,1.16,NA,34,NA,b,2015
204,Melton,2017,29,NA,peat plateau,high intensity burn,soil,NA,HI1,HI1 C30,HI1,61.27074,-163.23468,0.2099,0.1,0.77,0.5211,31,16.1,b,2015
217,Melton,2017,42,NA,peat plateau,high intensity burn,soil,NA,HI2,HI2 A5,HI2,61.28779,-163.26132,0.5685,0.298,1.87,0.2077,30,18.56,b,2015
218,Melton,2017,43,NA,peat plateau,high intensity burn,soil,NA,HI2,HI2 B5,HI2,61.2879,-163.26141,0.6282,0.331,2.15,0.2054,30,20.37,b,2015
219,Melton,2017,44,NA,peat plateau,high intensity burn,soil,NA,HI2,HI2 C5,HI2,61.28797,-163.26146,0.9841,0.332,2.22,0.2442,31,25.13,b,2015
205,Melton,2017,30,NA,peat plateau,low intensity burn,soil,NA,LI1,LI1 A20,LI1,61.27237,-163.23346,0.8393,0.423,3.64,0.1241,35,18.39,b,2015
206,Melton,2017,31,NA,peat plateau,low intensity burn,soil,NA,LI1,LI1 B20,LI1,61.27236,-163.23326,0.4478,0.236,2.14,0.2597,31,19,b,2015
207,Melton,2017,32,NA,peat plateau,low intensity burn,soil,NA,LI1,LI1 C20,LI1,61.27235,-163.23312,0.3649,0.202,1.48,0.4102,30,24.87,b,2015
211,Melton,2017,36,NA,peat plateau,low intensity burn,soil,NA,LI2,LI2 A20,LI2,61.28419,-163.2574,0.324,0.171,1.26,0.2215,31,11.77,b,2015
212,Melton,2017,37,NA,peat plateau,low intensity burn,soil,NA,LI2,LI2 B20,LI2,61.28412,-163.25728,0.6213,0.335,2.66,0.1616,31,16.79,b,2015
213,Melton,2017,38,NA,peat plateau,low intensity burn,soil,NA,LI2,LI2 C20,LI2,61.28406,-163.25714,0.6088,0.326,3.16,0.1449,30,14.15,b,2015
