n,last_name,year,vial_num,vial_n,landcover,landcover_details,substrate,substrate_type,site_code,sample_id,site_id,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,burn_hx,burn_year
277,Navarro,2017,102,NA,peat plateau,lichen patch,soil,NA,U3,UNB33-S,UNB33,61.27036,-163.23706,0.787,0.438,4.7,0.0789,12,4.15,u,NA
54,Moubarak,2019,MM61,NA,NA,NA,soil,NA,UBD1,UBD1C3,UBD1,61.26312,-163.25008,0.8664,0.374,0.8491,0.0122,24,1.1,u,NA
52,Moubarak,2019,MM67,NA,NA,NA,soil,NA,UBD1,UBD1C2,UBD1,61.26312,-163.25008,0.8922,0.359,0.8313,0.046,12,1.98,u,NA
53,Moubarak,2019,MM83,NA,NA,NA,soil,NA,UBD1,UBD1C1,UBD1,61.26312,-163.25008,0.8742,0.457,0.8321,0.0196,22,1.97,u,NA
57,Moubarak,2019,MM19,NA,NA,NA,soil,NA,UBD13,UBD13C1,UBD13,61.26125,-163.24182,0.9292,0.398,0.8271,0.061,29,7.04,u,NA
55,Moubarak,2019,MM33,NA,NA,NA,soil,NA,UBD13,UBD13C3,UBD13,61.26125,-163.24182,0.9095,0.386,0.8023,0.0346,16,2.14,u,NA
56,Moubarak,2019,MM45,NA,NA,NA,soil,NA,UBD13,UBD13C2,UBD13,61.26125,-163.24182,0.9168,0.434,0.8171,0.0586,20,5.1,u,NA
59,Moubarak,2019,MM5,NA,NA,NA,soil,NA,UBD15,UBD15C2,UBD15,61.26117,-163.24188,0.8352,0.317,0.7899,0.0728,23,5.3,u,NA
58,Moubarak,2019,MM13,NA,NA,NA,soil,NA,UBD15,UBD15C1,UBD15,61.26117,-163.24188,0.9221,0.363,0.7426,0.027,24,2.36,u,NA
60,Moubarak,2019,MM56,NA,NA,NA,soil,NA,UBD16,UBD16C1,UBD16,61.26099,-163.24173,0.935,0.333,0.752,0.0534,21,3.73,u,NA
62,Moubarak,2019,MM10,NA,NA,NA,soil,NA,UBD16,UBD16C2,UBD16,61.26099,-163.24173,0.838,0.367,0.787,0.0469,21,3.62,u,NA
61,Moubarak,2019,MM17,NA,NA,NA,soil,NA,UBD16,UBD16C3,UBD16,61.26099,-163.24173,0.8935,0.374,0.7617,0.0864,18.5,5.98,u,NA
63,Moubarak,2019,MM68,NA,NA,NA,soil,NA,UBD2,UBD2C3,UBD2,61.26756,-163.27008,0.9353,0.412,0.8129,0.048,16.5,3.27,u,NA
65,Moubarak,2019,MM84,NA,NA,NA,soil,NA,UBD2,UBD2C2,UBD2,61.26756,-163.27008,0.948,0.413,0.8707,0.0403,16,2.66,u,NA
64,Moubarak,2019,MM95,NA,NA,NA,soil,NA,UBD2,UBD2C1,UBD2,61.26756,-163.27008,0.9109,0.29,0.8639,0.0352,14,1.43,u,NA
68,Moubarak,2019,MM57,NA,NA,NA,soil,NA,UBD3,UBD3C2,UBD3,61.26763,-163.27016,0.9299,0.424,0.8644,0.0355,27,4.06,u,NA
67,Moubarak,2019,MM78,NA,NA,NA,soil,NA,UBD3,UBD3C1,UBD3,61.26763,-163.27016,0.9251,0.451,0.8593,0.0468,14,2.96,u,NA
66,Moubarak,2019,MM94,NA,NA,NA,soil,NA,UBD3,UBD3C3,UBD3,61.26763,-163.27016,0.7265,0.381,0.8387,0.0339,17,2.2,u,NA
71,Moubarak,2019,MM23,NA,NA,NA,soil,NA,UBM1,UBM1C3,UBM1,61.26305,-163.24997,0.8643,0.363,0.889,0.0562,15,3.06,u,NA
70,Moubarak,2019,MM29,NA,NA,NA,soil,NA,UBM1,UBM1C1,UBM1,61.26305,-163.24997,0.9169,0.358,0.8407,0.0652,10,2.33,u,NA
69,Moubarak,2019,MM34,NA,NA,NA,soil,NA,UBM1,UBM1C2,UBM1,61.26305,-163.24997,0.9342,0.399,0.8374,0.0402,13.5,2.16,u,NA
74,Moubarak,2019,MM2,NA,NA,NA,soil,NA,UBM14,UBM14C1,UBM14,61.26092,-163.24168,0.8922,0.372,0.8451,0.069,28,7.19,u,NA
72,Moubarak,2019,MM3,NA,NA,NA,soil,NA,UBM14,UBM14C2,UBM14,61.26092,-163.24168,0.7003,0.321,0.7462,0.128,27,11.1,u,NA
73,Moubarak,2019,MM16,NA,NA,NA,soil,NA,UBM14,UBM14C3,UBM14,61.26092,-163.24168,0.9349,0.371,0.7768,0.0344,20,2.56,u,NA
77,Moubarak,2019,MM8,NA,NA,NA,soil,NA,UBM15,UBM15C3,UBM15,61.26113,-163.24171,0.8112,0.343,0.7974,0.0593,14,2.85,u,NA
76,Moubarak,2019,MM11,NA,NA,NA,soil,NA,UBM15,UBM15C2,UBM15,61.26113,-163.24171,0.8192,0.351,0.795,0.0599,14.5,3.05,u,NA
75,Moubarak,2019,MM30,NA,NA,NA,soil,NA,UBM15,UBM15C1,UBM15,61.26113,-163.24171,0.7828,0.367,0.7812,0.1665,8,4.88,u,NA
78,Moubarak,2019,MM1,NA,NA,NA,soil,NA,UBM16,UBM16C3,UBM16,61.26108,-163.24179,0.8087,0.384,0.7606,0.0932,2,0.72,u,NA
80,Moubarak,2019,MM14,NA,NA,NA,soil,NA,UBM16,UBM16C1,UBM16,61.26108,-163.24179,0.928,0.383,0.8448,0.0978,7,2.62,u,NA
79,Moubarak,2019,MM15,NA,NA,NA,soil,NA,UBM16,UBM16C2,UBM16,61.26108,-163.24179,0.9354,0.338,0.7769,0.0609,21,4.33,u,NA
82,Moubarak,2019,MM26,NA,NA,NA,soil,NA,UBM2,UBM2C2,UBM2,61.26328,-163.25018,0.9546,0.429,0.8665,0.0427,14,2.56,u,NA
81,Moubarak,2019,MM37,NA,NA,NA,soil,NA,UBM2,UBM2C3,UBM2,61.26328,-163.25018,0.959,0.368,0.8431,0.0291,14.5,1.55,u,NA
83,Moubarak,2019,MM46,NA,NA,NA,soil,NA,UBM2,UBM2C1,UBM2,61.26328,-163.25018,0.9314,0.416,0.9007,0.026,21,2.27,u,NA
85,Moubarak,2019,MM31,NA,NA,NA,soil,NA,UBM3,UBM3C2,UBM3,61.26274,-163.25017,0.8706,0.39,0.8227,0.04,24.5,3.83,u,NA
86,Moubarak,2019,MM32,NA,NA,NA,soil,NA,UBM3,UBM3C1,UBM3,61.26274,-163.25017,0.9545,0.457,0.8315,0.0408,19,3.54,u,NA
84,Moubarak,2019,MM105,NA,NA,NA,soil,NA,UBM3,UBM3C3,UBM3,61.26274,-163.25017,0.9431,0.465,0.8037,0.0361,18,3.02,u,NA
87,Moubarak,2019,MM69,NA,NA,NA,soil,NA,UBT1,UBT1C1,UBT1,61.26198,-163.25053,0.7622,0.206,0.8392,0.291,2,1.2,u,NA
88,Moubarak,2019,MM80,NA,NA,NA,soil,NA,UBT1,UBT1C2,UBT1,61.26198,-163.25053,0.8902,0.368,0.8483,0.0305,16,1.8,u,NA
89,Moubarak,2019,MM85,NA,NA,NA,soil,NA,UBT1,UBT1C3,UBT1,61.26198,-163.25053,0.8442,0.42,0.8739,0.0629,14,3.7,u,NA
91,Moubarak,2019,MM7,NA,NA,NA,soil,NA,UBT10,UBT10C1,UBT10,61.26115,-163.24178,0.9168,0.395,0.7682,0.0447,20,3.53,u,NA
90,Moubarak,2019,MM12,NA,NA,NA,soil,NA,UBT10,UBT10C2,UBT10,61.26115,-163.24178,0.9034,0.355,0.7516,0.0468,21.5,3.57,u,NA
92,Moubarak,2019,MM18,NA,NA,NA,soil,NA,UBT10,UBT10C3,UBT10,61.26115,-163.24178,0.9255,0.385,0.7875,0.0428,22,3.63,u,NA
96,Moubarak,2019,MM6,NA,NA,NA,soil,NA,UBT11,UBT11C2,UBT11,61.26118,-163.24178,0.917,0.375,0.8138,0.0542,20.5,4.17,u,NA
94,Moubarak,2019,MM9,NA,NA,NA,soil,NA,UBT11,UBT11C3,UBT11,61.26118,-163.24178,0.8537,0.336,0.7767,0.09,28,8.46,u,NA
95,Moubarak,2019,MM20,NA,NA,NA,soil,NA,UBT11,UBT11C1,UBT11,61.26118,-163.24178,0.9411,0.388,0.7996,0.024,18,1.68,u,NA
93,Moubarak,2019,MM21,NA,NA,NA,soil,NA,UBT11,UBT11C3,UBT11,61.26118,-163.24178,0.5632,0.309,0.687,0.1261,28,10.91,u,NA
98,Moubarak,2019,MM4,NA,NA,NA,soil,NA,UBT12,UBT12C1,UBT12,61.26109,-163.24164,0.6336,0.213,0.7559,0.04,15,1.28,u,NA
99,Moubarak,2019,MM35,NA,NA,NA,soil,NA,UBT12,UBT12C2,UBT12,61.26109,-163.24164,0.7952,0.333,0.7786,0.0971,17.5,5.66,u,NA
97,Moubarak,2019,MM43,NA,NA,NA,soil,NA,UBT12,UBT12C3,UBT12,61.26109,-163.24164,0.6896,0.284,0.7514,0.1558,20.5,9.07,u,NA
100,Moubarak,2019,MM50,NA,NA,NA,soil,NA,UBT2,UBT2C2,UBT2,61.26183,-163.25114,0.8914,0.366,0.8218,0.0564,11,2.27,u,NA
102,Moubarak,2019,MM87,NA,NA,NA,soil,NA,UBT2,UBT2C3,UBT2,61.26183,-163.25114,0.9449,0.439,0.9069,0.0589,9,2.33,u,NA
101,Moubarak,2019,MM88,NA,NA,NA,soil,NA,UBT2,UBT2C1,UBT2,61.26183,-163.25114,0.896,0.375,0.8592,0.0636,7,1.67,u,NA
105,Moubarak,2019,MM59,NA,NA,NA,soil,NA,UBT3,UBT3C2,UBT3,61.26157,-163.25111,0.9265,0.398,0.8998,0.041,12,1.95,u,NA
103,Moubarak,2019,MM63,NA,NA,NA,soil,NA,UBT3,UBT3C3,UBT3,61.26157,-163.25111,0.4262,0.383,0.7645,0.194,11,8.17,u,NA
104,Moubarak,2019,MM71,NA,NA,NA,soil,NA,UBT3,UBT3C1,UBT3,61.26157,-163.25111,0.9178,0.382,0.8966,0.0607,19,4.4,u,NA
106,McElvein,2018,AM1,42,high/dry burn,NA,soil,organic,NA,8ABM1,8ABM,61.25777,-163.23824,0.4404,0.45,3.0897,0.1422,30,19.22,b,2015
107,McElvein,2018,AM2,43,high/dry burn,NA,soil,organic,NA,8ABM2,8ABM,61.25774,-163.23834,0.3212,0.337,1.3711,0.2869,30,28.97,b,2015
108,McElvein,2018,AM3,49,high/dry unburn,NA,soil,organic,NA,9ABM4,9ABM,61.22488,-163.1969,0.7588,0.391,2.7459,0.1174,30,13.77,u,NA
109,McElvein,2018,AM4,48,high/dry unburn,NA,soil,organic,NA,9ABM3,9ABM,61.22494,-163.1971,0.2179,0.266,1.1352,0.2197,30,17.55,u,NA
110,McElvein,2018,AM5,47,high/dry unburn,NA,soil,organic,NA,9ABM2,9ABM,61.22501,-163.19734,0.818,0.418,3.7269,0.1175,30,14.75,u,NA
111,McElvein,2018,AM6,44,high/dry burn,NA,soil,organic,NA,8ABM3,8ABM,61.25772,-163.2386,0.2397,0.27,1.8114,0.1887,30,15.26,b,2015
112,McElvein,2018,AM7,46,high/dry unburn,NA,soil,organic,NA,9ABM1,9ABM,61.22531,-163.19771,0.8251,0.414,3.5714,0.1373,30,17.08,u,NA
113,McElvein,2018,AM8,4,high/dry burn,NA,soil,organic,NA,10ABM4,10ABM,61.22612,-163.19826,0.4072,0.411,4.9956,0.079,30,9.73,b,2015
114,McElvein,2018,AM9,54,low/wet burn,NA,soil,organic,NA,ABM5,ABM5,61.26524,-163.24928,0.3998,0.425,7.9971,0.0303,30,3.86,b,2015
115,McElvein,2018,AM10,1,high/dry burn,NA,soil,organic,NA,10ABM1,10ABM,61.2259,-163.1976,0.3511,0.394,3.457,0.1025,30,12.11,b,2015
116,McElvein,2018,AM11,3,high/dry burn,NA,soil,organic,NA,10ABM3,10ABM,61.22604,-163.19798,0.4157,0.44,3.9278,0.2271,30,29.97,b,2015
117,McElvein,2018,AM12,11,high/dry unburn,NA,soil,organic,NA,12ABM3,12ABM,61.26243,-163.28703,0.8007,0.428,3.6293,0.0738,30,9.49,u,NA
118,McElvein,2018,AM13,10,high/dry unburn,NA,soil,organic,NA,12ABM2,12ABM,61.26244,-163.28688,0.4671,0.433,5.1957,0.0554,30,7.2,u,NA
119,McElvein,2018,AM14,12,high/dry unburn,NA,soil,organic,NA,12ABM4,12ABM,61.26242,-163.28731,0.9077,0.444,4.7157,0.0546,30,7.28,u,NA
120,McElvein,2018,AM15,9,high/dry unburn,NA,soil,organic,NA,12ABM1,12ABM,61.26246,-163.28674,0.3955,0.405,3.9296,0.1276,30,15.49,u,NA
121,McElvein,2018,AM16,14,low/wet unburn,NA,soil,organic,NA,13ABM2,13ABM,61.2627,-163.28639,0.4509,0.457,24.0712,0.0109,30,1.5,u,NA
122,McElvein,2018,AM17,15,low/wet unburn,NA,soil,organic,NA,13ABM3,13ABM,61.26278,-163.28636,0.4312,0.461,15.7185,0.0105,30,1.45,u,NA
123,McElvein,2018,AM18,13,low/wet unburn,NA,soil,organic,NA,13ABM1,13ABM,61.26265,-163.28641,0.4199,0.437,17.4417,0.0259,30,3.39,u,NA
124,McElvein,2018,AM19,6,high/dry burn,NA,soil,organic,NA,11ABM2,11ABM,61.24006,-163.21364,0.4211,0.447,3.6987,0.056,30,7.51,b,2015
125,McElvein,2018,AM20,45,high/dry burn,NA,soil,organic,NA,8ABM4,8ABM,61.25789,-163.23891,0.8838,0.428,4.1872,0.1023,30,13.14,b,2015
126,McElvein,2018,AM21,8,high/dry burn,NA,soil,organic,NA,11ABM4,11ABM,61.23996,-163.214,0.3486,0.387,2.4503,0.1249,30,14.52,b,2015
127,McElvein,2018,AM22,5,high/dry burn,NA,soil,organic,NA,11ABM1,11ABM,61.24009,-163.21344,0.7679,0.435,3.4448,0.2885,30,37.62,b,2015
128,McElvein,2018,AM23,55,low/wet burn,NA,soil,organic,NA,ABM6,ABM6,61.26533,-163.24928,0.7924,0.281,4.2745,0.0557,30,4.7,b,2015
129,McElvein,2018,AM24,51,low/wet burn,NA,soil,organic,NA,ABM2,ABM2,61.2649,-163.24907,1.2178,0.437,10.7878,0.0446,30,5.86,b,2015
130,McElvein,2018,AM25,53,low/wet burn,NA,soil,organic,NA,ABM4,ABM4,61.26505,-163.24924,0.4928,0.444,10.9761,0.0277,30,3.69,b,2015
131,McElvein,2018,AM26,50,low/wet burn,NA,soil,organic,NA,ABM1,ABM1,61.2649,-163.24895,1.6965,0.447,11.7688,0.0222,30,2.98,b,2015
132,McElvein,2018,AM27,52,low/wet burn,NA,soil,organic,NA,ABM3,ABM3,61.26508,-163.24908,0.5076,0.453,22.5996,0.0193,30,2.62,b,2015
133,McElvein,2018,AM28,2,high/dry burn,NA,soil,organic,NA,10ABM2,10ABM,61.22599,-163.19774,0.8541,0.458,5.5086,0.0674,30,9.25,b,2015
134,McElvein,2018,AM29,7,high/dry burn,NA,soil,organic,NA,11ABM3,11ABM,61.24,-163.21381,0.7479,0.416,2.3981,0.093,30,11.61,b,2015
135,McElvein,2018,AM30,NA,burnt lake,NA,sediment,organic,NA,NA,BL1,61.26321,-163.22934,0.633,0.11,0.9984,NA,30,NA,b,2015
136,McElvein,2018,AM31,NA,burnt lake,NA,sediment,organic,NA,NA,BL1,61.261,-163.22969,0.1258,0.137,2.1171,NA,30,NA,b,2015
137,McElvein,2018,AM32,NA,unburnt lake,NA,sediment,organic,NA,NA,UBL1,61.25929,-163.25444,0.1579,0.183,3.0974,NA,30,NA,u,NA
138,McElvein,2018,AM33,NA,unburnt lake,NA,sediment,organic,NA,NA,UBL1,61.25913,-163.25925,0.717,0.105,2.2501,NA,30,NA,u,NA
139,McElvein,2018,AM34,27,high/dry unburn,NA,soil,organic,NA,23ABM3,23ABM,61.26911,-163.05487,0.8569,0.436,8.4557,0.0636,30,8.33,u,NA
140,McElvein,2018,AM35,22,low/wet unburn,NA,soil,organic,NA,22ABM3,22ABM,61.26709,-163.00714,0.4079,0.407,4.7971,0.0813,30,9.94,u,NA
141,McElvein,2018,AM36,25,high/dry unburn,NA,soil,organic,NA,23ABM1,23ABM,61.26938,-163.05489,0.3228,0.364,3.6421,0.1246,30,13.6,u,NA
142,McElvein,2018,AM37,21,low/wet unburn,NA,soil,organic,NA,22ABM2,22ABM,61.26721,-163.00703,1.5643,0.451,13.9313,0.0338,30,4.58,u,NA
143,McElvein,2018,AM38,26,high/dry unburn,NA,soil,organic,NA,23ABM2,23ABM,61.26958,-163.05466,0.4066,0.388,6.3506,0.0578,30,6.73,u,NA
144,McElvein,2018,AM39,23,low/wet unburn,NA,soil,organic,NA,22ABM4,22ABM,61.26688,-163.00708,0.4634,0.44,10.9517,0.0726,30,9.58,u,NA
145,McElvein,2018,AM40,20,low/wet unburn,NA,soil,organic,NA,22ABM1,22ABM,61.26743,-163.00729,0.4889,0.46,18.3834,0.0153,30,2.11,u,NA
146,McElvein,2018,AM41,24,low/wet unburn,NA,soil,organic,NA,22ABM5,22ABM,61.26652,-163.00684,0.3563,0.381,6.7962,0.0309,30,3.54,u,NA
147,McElvein,2018,AM42,16,high/dry unburn,NA,soil,organic,NA,21ABM1,21ABM,61.26923,-163.0018,0.4054,0.423,5.4853,0.0691,30,8.77,u,NA
148,McElvein,2018,AM43,18,high/dry unburn,NA,soil,organic,NA,21ABM3,21ABM,61.26901,-163.001,0.7482,0.282,3.1192,0.1271,30,10.74,u,NA
149,McElvein,2018,AM44,17,high/dry unburn,NA,soil,organic,NA,21ABM2,21ABM,61.26895,-163.0016,0.7876,0.42,4.3667,0.0582,30,7.34,u,NA
150,McElvein,2018,AM45,19,high/dry unburn,NA,soil,organic,NA,21ABM4,21ABM,61.26875,-163.00156,0.2656,0.271,1.9414,0.1306,30,10.61,u,NA
151,McElvein,2018,AM46,NA,burnt lake,NA,sediment,organic,NA,NA,BL2,61.2643,-163.24461,0.0842,0.091,1.2008,NA,30,NA,b,2015
152,McElvein,2018,AM47,NA,burnt lake,NA,sediment,organic,NA,NA,BL3,61.25847,-163.23211,0.1532,0.17,2.0302,NA,30,NA,b,2015
153,McElvein,2018,AM48,NA,burnt lake,NA,sediment,organic,NA,NA,BL4,61.26795,-163.22963,0.1736,0.2,1.6111,NA,30,NA,b,2015
154,McElvein,2018,AM49,NA,burnt pond in fen,NA,sediment,organic,NA,NA,BP1,61.2653,-163.24899,0.6456,0.102,1.259,NA,30,NA,b,2015
155,McElvein,2018,AM50-1,NA,burnt lake (white),NA,sediment,organic,NA,NA,BL5,61.27126,-163.23592,0.1524,0.144,1.4429,NA,30,NA,b,2015
156,McElvein,2018,AM50-2,NA,burnt lake (white),NA,sediment,organic,NA,NA,BL5,61.27126,-163.23592,0.104,0.148,1.1479,NA,30,NA,b,2015
157,McElvein,2018,AM51-1,NA,burnt lake (white),NA,sediment,organic,NA,NA,BL6,61.26983,-163.23344,0.2039,0.143,1.984,NA,30,NA,b,2015
158,McElvein,2018,AM51-2,NA,burnt lake (white),NA,sediment,organic,NA,NA,BL6,61.26983,-163.23344,0.048,0.118,2.6738,NA,30,NA,b,2015
159,McElvein,2018,AM52-1,NA,burnt lake (white),NA,sediment,organic,NA,NA,BL7,61.26532,-163.23575,0.1256,0.1,2.8712,NA,30,NA,b,2015
160,McElvein,2018,AM52-2,NA,burnt lake (white),NA,sediment,organic,NA,NA,BL7,61.26532,-163.23575,0.0041,0.091,2.1738,NA,30,NA,b,2015
161,McElvein,2018,AM53,28,high/dry burn,NA,soil,organic,NA,2ABM1,2ABM,61.26521,-163.24829,0.2346,0.267,2.0948,0.1201,30,9.63,b,2015
162,McElvein,2018,AM54,29,high/dry burn,NA,soil,organic,NA,2ABM2,2ABM,61.2652,-163.24831,0.1782,0.157,1.5548,0.4647,30,21.94,b,2015
163,McElvein,2018,AM55,30,high/dry burn,NA,soil,organic,NA,2ABM3,2ABM,61.26519,-163.24844,0.1448,0.155,0.9084,0.3274,30,15.23,b,2015
164,McElvein,2018,AM56,31,high/dry burn,NA,soil,organic,NA,2ABM4,2ABM,61.26537,-163.24857,0.2614,0.253,1.5601,0.046,30,3.48,b,2015
165,McElvein,2018,AM57,32,low/wet burn,NA,soil,organic,NA,3ABM2,3ABM,61.26632,-163.24927,0.9784,0.318,7.4643,0.0325,30,3.1,b,2015
166,McElvein,2018,AM58,NA,low/wet burn,NA,soil,organic,NA,NA,3ABM,61.26631,-163.24942,1.5949,NA,16.0743,NA,30,NA,b,2015
167,McElvein,2018,AM59,33,low/wet burn,NA,soil,organic,NA,3ABM3,3ABM,61.26628,-163.2495,0.5103,0.444,21.3008,0.0338,30,4.5,b,2015
168,McElvein,2018,AM60,34,low/wet burn,NA,soil,organic,NA,3ABM4,3ABM,61.26632,-163.24954,1.5833,0.458,16.5338,0.0365,30,5.01,b,2015
169,McElvein,2018,AM61,35,low/wet burn,NA,soil,organic,NA,3ABM5,3ABM,61.26637,-163.24954,0.4488,0.465,7.919,0.0621,30,8.66,b,2015
170,McElvein,2018,AM62,36,low/wet burn,NA,soil,organic,NA,3ABM6,3ABM,61.26632,-163.24954,0.4653,0.448,10.3542,0.0503,30,6.76,b,2015
171,McElvein,2018,AM63,37,low/wet burn,NA,soil,organic,NA,4ABM1,4ABM,61.26712,-163.24976,1.4548,0.463,14.3864,0.017,30,2.36,b,2015
172,McElvein,2018,AM64,38,low/wet burn,NA,soil,organic,NA,4ABM2,4ABM,61.26722,-163.24968,0.4671,0.455,17.0386,0.0262,30,3.57,b,2015
173,McElvein,2018,AM65,39,low/wet burn,NA,soil,organic,NA,4ABM3,4ABM,61.26718,-163.24974,0.4917,0.457,13.1757,0.0555,30,7.61,b,2015
174,McElvein,2018,AM66,40,low/wet burn,NA,soil,organic,NA,4ABM4,4ABM,61.26723,-163.24989,1.4481,0.478,13.3423,0.0238,30,3.41,b,2015
175,McElvein,2018,AM67,41,low/wet burn,NA,soil,organic,NA,4ABM5,4ABM,61.26711,-163.25012,1.5644,0.462,16.2764,0.0345,30,4.78,b,2015
