siteid,yr,startdate,enddate,ppt,HgConc,HgDep,crit1,crit2,crit3,samplecount
FL34,2015,2014-12-30,2015-04-07,8.687,-9.000,-9.000,25,27,99,14
FL95,2015,2015-04-07,2015-12-29,102.311,-9.000,-9.000,71,73,100,38
FL95,2016,2015-12-29,2017-01-03,137.874,13.252,18.270,94,98,97,53
FL95,2017,2017-01-03,2018-01-02,172.847,10.237,17.693,94,100,87,51
FL95,2018,2018-01-02,2018-12-27,99.562,13.191,13.132,95,100,98,51
FL95,2019,2018-12-27,2019-12-30,120.396,11.671,14.050,89,94,100,50
FL95,2020,2019-12-30,2020-12-29,142.265,-9.000,-9.000,82,85,96,47
FL95,2021,2020-12-29,2021-12-28,92.913,16.656,15.475,91,98,88,50
FL95,2022,2021-12-28,2023-01-03,124.355,12.623,15.697,84,99,78,53
FL96,2010,2010-12-28,2011-01-03,4.424,-9.000,-9.000,2,2,100,1
FL96,2011,2011-01-03,2012-01-03,120.856,8.767,10.595,91,99,95,76
FL96,2012,2012-01-03,2013-01-02,145.820,11.752,17.137,99,99,100,84
FL96,2013,2013-01-02,2013-12-30,195.241,9.178,17.917,98,99,97,77
FL96,2014,2013-12-30,2014-12-30,218.415,9.617,21.003,99,99,100,77
FL96,2015,2014-12-30,2015-12-29,172.783,8.872,15.329,94,99,93,71
FL96,2016,2015-12-29,2016-12-06,173.951,11.021,19.169,94,94,100,56
FL97,2006,2006-11-08,2007-01-02,5.436,-9.000,-9.000,15,15,100,8
FL97,2007,2007-01-02,2008-01-02,116.607,14.580,17.000,97,99,100,52
FL97,2008,2008-01-02,2008-12-30,183.032,13.639,24.964,97,99,99,51
FL97,2009,2008-12-30,2009-12-29,116.763,12.455,14.543,97,99,99,52
FL97,2010,2009-12-29,2010-12-28,130.124,13.837,18.004,96,99,94,52
FL97,2011,2010-12-28,2012-01-03,115.673,14.937,17.278,96,99,100,54
FL97,2012,2012-01-03,2012-12-31,125.501,-9.000,-9.000,84,99,73,50
FL97,2013,2012-12-31,2013-12-31,107.188,15.281,16.378,97,99,100,51
FL97,2014,2013-12-31,2014-12-30,114.427,15.985,18.291,99,99,100,53
FL97,2015,2014-12-30,2015-12-29,124.181,13.850,17.199,99,99,100,52
FL97,2016,2015-12-29,2017-01-03,160.082,16.122,25.807,92,99,88,52
FL97,2017,2017-01-03,2018-01-02,179.248,11.130,19.948,92,100,88,51
FL97,2018,2018-01-02,2018-12-27,108.874,14.844,16.161,79,90,94,47
FL97,2019,2018-12-27,2019-12-30,153.416,15.598,23.928,96,99,99,51
FL97,2020,2019-12-30,2020-12-29,192.227,11.988,23.042,99,99,100,52
FL97,2021,2020-12-29,2021-12-28,99.009,16.708,16.542,90,99,91,51
FL97,2022,2021-12-28,2023-01-03,135.466,16.295,22.073,98,99,99,53
GA09,1997,1997-07-29,1997-12-30,61.853,-9.000,-9.000,42,42,100,22
GA09,1998,1997-12-30,1998-12-29,147.312,11.674,17.197,98,98,100,52
GA09,1999,1998-12-29,1999-12-29,105.308,11.934,12.568,94,99,99,52
GA09,2000,1999-12-29,2001-01-02,96.359,10.626,10.238,91,97,96,53
GA09,2001,2001-01-09,2002-01-01,100.005,13.276,13.277,95,99,100,51
GA09,2002,2002-01-01,2002-12-31,115.989,9.879,11.459,94,99,99,52
GA09,2003,2002-12-31,2003-12-30,126.937,11.704,14.855,95,99,100,52
GA09,2004,2003-12-30,2004-12-28,171.717,10.247,17.596,99,99,100,55
GA09,2005,2004-12-28,2006-01-03,176.098,9.171,16.148,99,99,100,53
GA09,2006,2006-01-03,2007-01-02,100.208,10.971,10.993,99,99,100,53
GA09,2007,2007-01-02,2008-01-02,117.132,7.416,8.687,95,99,98,52
GA09,2008,2008-01-02,2008-12-30,133.934,9.328,12.493,97,99,100,52
GA09,2009,2008-12-30,2009-12-29,135.331,9.797,13.257,97,99,100,52
GA09,2010,2009-12-29,2010-12-28,91.823,10.865,9.977,97,99,100,52
GA09,2011,2010-12-28,2012-01-03,122.376,10.148,12.419,96,99,100,53
GA09,2012,2012-01-03,2013-01-01,128.237,8.239,10.565,92,99,95,52
GA09,2013,2013-01-01,2013-12-31,121.842,10.176,12.397,97,99,98,51
GA09,2014,2013-12-31,2014-12-30,179.641,9.749,17.513,99,99,100,52
GA09,2015,2014-12-30,2015-12-29,118.415,10.821,12.814,97,99,100,52
GA09,2016,2015-12-29,2017-01-03,121.742,10.564,12.860,99,99,100,53
GA09,2017,2017-01-03,2018-01-02,139.185,8.417,11.715,96,99,98,52
GA09,2018,2018-01-02,2018-12-18,117.281,7.902,9.266,91,93,100,49
GA09,2019,2018-12-18,2019-12-31,136.068,10.470,14.246,85,99,81,50
GA09,2020,2019-12-31,2020-12-29,136.398,-9.000,-9.000,65,99,45,52
GA09,2021,2020-12-29,2021-12-28,135.052,8.824,11.917,99,99,100,52
GA09,2022,2021-12-28,2023-01-03,107.696,13.208,14.224,97,99,86,53
GA22,2002,2002-06-11,2003-01-02,86.660,-9.000,-9.000,52,56,94,37
GA22,2003,2003-01-02,2003-12-30,150.730,12.802,19.295,97,99,97,76
GA22,2004,2003-12-30,2004-06-29,57.214,-9.000,-9.000,50,50,100,26
GA33,2007,2007-09-25,2008-01-02,17.724,-9.000,-9.000,25,27,97,13
GA33,2008,2008-01-02,2008-12-30,105.388,7.025,7.404,91,99,99,52
GA33,2009,2008-12-30,2009-12-30,127.035,8.568,10.884,90,99,91,52
GA33,2010,2009-12-30,2010-12-30,82.880,8.250,6.838,90,99,97,50
GA33,2011,2010-12-30,2011-12-30,77.317,10.275,7.944,84,99,75,53
GA33,2012,2011-12-30,2013-01-02,90.678,9.693,8.789,95,99,97,50
GA33,2013,2013-01-02,2013-12-26,124.806,10.345,12.910,95,99,97,49
GA33,2014,2013-12-26,2014-12-30,122.942,9.498,11.677,90,99,92,51
GA33,2015,2014-12-30,2015-12-30,108.546,-9.000,-9.000,78,99,66,50
GA33,2016,2015-12-30,2017-01-11,96.729,-9.000,-9.000,92,99,60,49
GA33,2017,2017-01-11,2017-02-21,9.788,-9.000,-9.000,7,11,84,5
GA40,2000,2000-06-13,2001-01-02,53.142,-9.000,-9.000,55,55,100,29
GA40,2001,2001-01-02,2001-12-31,118.565,9.593,11.374,99,99,100,77
GA40,2002,2001-12-31,2003-01-02,142.064,9.978,14.174,89,99,98,78
GA40,2003,2003-01-02,2003-12-30,137.986,13.923,19.210,99,99,100,75
GA40,2004,2003-12-30,2004-12-28,126.735,7.451,9.443,97,99,100,53
GA40,2005,2004-12-28,2006-01-03,120.117,10.618,12.753,99,99,100,54
GA40,2006,2006-01-03,2007-01-01,104.645,9.253,9.682,99,99,100,63
GA40,2007,2007-01-01,2007-12-31,93.143,10.223,9.521,96,99,100,82
GA40,2008,2007-12-31,2009-01-02,113.202,8.770,9.927,98,98,100,83
GA40,2009,2009-01-02,2009-12-31,170.790,7.603,12.985,99,99,100,92
GA40,2010,2009-12-31,2011-01-03,110.541,9.397,10.388,97,99,98,90
GA40,2011,2011-01-03,2012-01-02,117.120,10.613,12.429,94,99,95,75
GA40,2012,2012-01-02,2013-01-02,95.428,9.370,8.941,96,99,100,98
GA40,2013,2013-01-02,2013-12-29,174.154,8.583,14.946,97,99,99,109
GA40,2014,2013-12-29,2014-12-30,127.608,10.083,12.865,96,99,100,102
GA40,2015,2014-12-30,2015-12-31,162.221,8.874,14.396,98,99,98,109
GA40,2016,2015-12-31,2017-01-03,81.682,9.156,7.479,98,98,100,78
HD01,2004,2004-10-26,2004-12-07,3.683,-9.000,-9.000,12,12,100,6
HD01,2005,2004-12-28,2005-11-29,141.688,8.672,12.287,87,90,89,47
ID03,2006,2006-10-21,2007-01-03,2.321,-9.000,-9.000,20,20,100,11
ID03,2007,2007-01-03,2007-12-31,20.087,14.097,2.832,94,99,89,53
ID03,2008,2007-12-31,2008-12-30,52.112,6.445,3.359,85,98,77,53
ID03,2009,2008-12-30,2009-12-29,39.091,16.707,6.530,82,99,93,52
ID03,2010,2009-12-29,2010-12-28,39.066,14.026,5.479,89,99,90,52
ID98,2008,2008-03-25,2008-12-30,18.023,-9.000,-9.000,75,77,93,40
ID98,2009,2008-12-30,2009-12-29,21.531,10.557,2.273,99,99,100,52
ID98,2010,2009-12-29,2010-06-29,19.025,-9.000,-9.000,50,50,100,26
ID99,2007,2007-11-19,2008-01-01,9.811,-9.000,-9.000,12,12,100,5
ID99,2008,2008-01-01,2008-12-30,143.601,-9.000,-9.000,82,98,62,51
ID99,2009,2008-12-30,2009-12-30,65.175,8.086,5.270,94,99,94,51
ID99,2010,2009-12-30,2010-06-22,41.257,-9.000,-9.000,48,48,100,24
IL11,1999,1999-01-06,1999-12-29,90.092,10.100,9.098,96,96,100,62
IL11,2000,1999-12-29,2001-01-02,85.820,11.595,9.951,93,99,98,53
IL11,2001,2001-01-02,2002-01-01,77.565,11.453,8.884,98,99,96,64
IL11,2002,2002-01-01,2002-12-31,87.717,10.937,9.594,99,99,100,55
IL11,2003,2002-12-31,2003-12-30,85.954,11.304,9.716,98,99,100,53
IL11,2004,2003-12-30,2004-12-28,96.995,10.430,10.117,88,99,99,53
IL11,2005,2004-12-28,2006-01-03,87.389,9.731,8.504,90,98,98,52
IL11,2006,2006-01-03,2007-01-02,85.821,10.256,8.802,88,100,90,53
IL11,2007,2007-01-02,2008-01-01,75.929,10.268,7.796,89,100,88,52
IL11,2008,2008-01-01,2008-12-30,130.620,11.902,15.545,88,99,82,52
IL11,2009,2008-12-30,2009-12-29,123.977,9.701,12.026,86,99,93,53
IL11,2010,2009-12-29,2010-12-28,93.320,12.199,11.384,92,100,99,52
IL11,2011,2010-12-28,2012-01-03,88.755,11.792,10.465,96,100,99,53
IL11,2012,2012-01-03,2013-01-01,75.311,12.640,9.519,92,100,94,51
IL11,2013,2013-01-01,2013-12-31,85.039,9.556,8.125,94,99,100,52
IL11,2014,2013-12-31,2014-12-30,104.775,13.035,13.656,90,99,90,52
IL11,2015,2014-12-30,2015-12-29,102.006,10.479,10.688,96,99,99,52
IL11,2016,2015-12-29,2017-01-04,96.164,11.283,10.849,94,99,99,53
IL11,2017,2017-01-04,2018-01-02,91.110,9.922,9.040,90,100,97,52
IL11,2018,2018-01-02,2019-01-03,127.279,8.136,10.354,96,100,100,52
IL11,2019,2019-01-03,2019-12-31,109.525,9.302,10.188,90,99,96,52
IL11,2020,2019-12-31,2020-12-29,90.703,-9.000,-9.000,78,99,71,48
IL11,2021,2020-12-29,2021-08-03,54.559,-9.000,-9.000,55,59,100,32
IL63,2014,2013-12-31,2014-12-31,101.981,11.018,11.235,99,99,100,53
IL63,2015,2014-12-31,2015-12-29,155.067,8.666,13.438,95,99,98,52
IN20,2000,2000-10-26,2000-12-26,12.567,-9.000,-9.000,15,17,98,9
IN20,2001,2001-01-02,2002-01-01,104.090,11.718,12.197,96,99,100,52
IN20,2002,2002-01-01,2002-12-31,81.288,11.210,9.112,88,99,86,52
IN20,2003,2002-12-31,2003-12-30,138.873,11.130,15.457,96,99,100,53
IN20,2004,2003-12-30,2004-12-28,109.794,11.140,12.230,98,99,94,52
IN20,2005,2004-12-28,2006-01-03,86.995,9.169,7.976,98,99,100,53
IN20,2006,2006-01-03,2007-01-02,112.497,9.389,10.562,96,99,98,53
IN20,2007,2007-01-02,2008-01-01,110.173,6.868,7.566,82,99,90,52
IN20,2008,2008-01-01,2008-12-30,105.407,8.982,9.467,96,99,99,52
IN20,2009,2008-12-30,2009-12-29,101.283,7.787,7.886,96,99,99,51
IN20,2010,2009-12-29,2010-01-26,2.565,-9.000,-9.000,8,8,100,4
IN21,2001,2001-01-12,2002-01-01,99.484,12.799,12.732,92,97,94,51
IN21,2002,2002-01-01,2002-12-31,128.932,11.603,14.959,99,99,100,52
IN21,2003,2002-12-31,2003-12-30,131.414,13.159,17.291,99,99,100,52
IN21,2004,2003-12-30,2004-12-28,121.399,13.029,15.817,98,100,98,52
IN21,2005,2004-12-28,2006-01-03,108.534,12.071,13.101,94,100,93,54
IN21,2006,2006-01-03,2007-01-02,138.735,12.316,17.087,98,99,100,52
IN21,2007,2007-01-02,2008-01-01,116.738,10.287,12.009,98,99,100,52
IN21,2008,2008-01-01,2008-12-30,135.112,12.096,16.342,99,99,100,52
IN21,2009,2008-12-30,2009-12-29,139.624,11.812,16.491,95,100,96,52
IN21,2010,2009-12-29,2010-12-28,38.659,-9.000,-9.000,44,48,99,33
IN21,2011,2010-12-28,2012-01-03,166.734,12.142,20.245,98,99,95,53
IN21,2012,2012-01-03,2012-03-27,25.502,-9.000,-9.000,23,23,100,12
IN21,2014,2013-12-31,2014-12-30,125.603,10.663,13.393,97,99,98,52
IN21,2015,2014-12-30,2015-12-29,150.851,8.200,12.370,99,99,100,52
IN21,2016,2015-12-29,2017-01-03,125.882,8.051,10.134,99,99,100,53
IN21,2017,2017-01-03,2018-01-02,137.566,7.566,10.407,99,99,100,52
IN21,2018,2018-01-02,2019-01-02,143.358,-9.000,-9.000,88,89,100,49
IN21,2019,2019-01-02,2019-12-31,135.026,7.689,10.381,97,99,100,52
IN21,2020,2019-12-31,2020-12-29,123.444,6.669,8.231,99,99,100,50
IN21,2021,2020-12-29,2022-01-04,133.909,7.127,9.544,99,99,100,53
IN21,2022,2022-01-04,2023-01-03,126.848,9.274,11.763,99,99,100,52
IN22,2014,2013-12-31,2014-12-30,115.976,9.345,10.838,98,99,99,52
IN22,2015,2014-12-30,2015-12-29,127.334,8.282,10.546,92,99,95,52
IN22,2016,2015-12-29,2017-01-03,114.514,9.885,11.319,98,99,100,53
IN22,2017,2017-01-03,2018-01-03,97.388,9.479,9.230,94,99,100,52
IN22,2018,2018-01-03,2019-01-02,136.095,6.911,9.404,92,99,96,52
IN22,2019,2019-01-02,2019-12-30,154.178,-9.000,-9.000,70,99,73,52
IN22,2020,2019-12-30,2020-12-29,128.727,7.155,9.210,84,99,87,52
IN22,2021,2020-12-29,2022-01-04,127.432,-9.000,-9.000,43,99,45,48
IN22,2022,2022-01-04,2023-01-03,126.822,-9.000,-9.000,71,99,74,51
IN26,2003,2003-04-04,2003-12-30,102.172,-9.000,-9.000,70,74,77,39
IN26,2004,2003-12-30,2004-12-28,105.042,9.304,9.773,94,99,99,52
IN26,2005,2004-12-28,2006-01-03,118.796,9.685,11.504,98,99,99,54
IN26,2006,2006-01-03,2007-01-03,135.814,10.136,13.766,99,99,100,52
IN26,2007,2007-01-03,2008-01-02,107.163,9.106,9.758,96,99,100,52
IN26,2008,2008-01-02,2008-12-31,138.024,14.249,19.666,92,99,88,52
IN26,2009,2008-12-31,2009-12-29,118.059,8.108,9.572,97,99,100,52
IN26,2010,2009-12-29,2010-01-26,3.607,-9.000,-9.000,8,8,100,4
IN28,2000,2000-12-15,2001-01-02,1.797,-9.000,-9.000,4,5,5,3
IN28,2001,2001-01-02,2001-12-31,116.938,10.234,11.967,99,99,100,52
IN28,2002,2001-12-31,2002-12-31,118.828,-9.000,-9.000,82,99,73,53
IN28,2003,2002-12-31,2003-12-30,119.253,9.687,11.552,96,99,99,52
IN28,2004,2003-12-30,2004-12-28,113.119,9.284,10.501,95,99,99,53
IN28,2005,2004-12-28,2006-01-03,124.485,8.412,10.470,97,99,100,55
IN28,2006,2006-01-03,2007-01-02,140.208,8.350,11.706,98,99,100,52
IN28,2007,2007-01-02,2008-01-02,96.521,8.752,8.447,91,99,96,52
IN28,2008,2008-01-02,2008-12-31,147.447,10.108,14.904,94,99,99,52
IN28,2009,2008-12-31,2009-12-29,131.115,7.928,10.395,95,99,100,52
IN28,2010,2009-12-29,2010-01-26,4.674,-9.000,-9.000,6,8,82,4
IN34,2000,2000-10-27,2001-01-03,13.612,-9.000,-9.000,19,19,100,10
IN34,2001,2001-01-03,2002-01-02,88.740,12.077,10.717,92,99,98,52
IN34,2002,2002-01-02,2002-12-31,73.271,12.676,9.288,90,97,93,52
IN34,2003,2002-12-31,2003-12-30,89.599,14.705,13.175,90,99,92,52
IN34,2004,2003-12-30,2004-12-28,96.528,10.654,10.284,99,99,100,52
IN34,2005,2004-12-28,2006-01-03,64.613,12.109,7.823,98,100,100,53
IN34,2006,2006-01-03,2007-01-03,123.406,9.460,11.673,96,99,100,52
IN34,2007,2007-01-03,2008-01-02,108.513,9.735,10.564,98,99,98,52
IN34,2008,2008-01-02,2008-12-30,135.700,8.946,12.140,94,100,95,52
IN34,2009,2008-12-30,2009-12-29,109.906,9.077,9.976,98,100,98,52
IN34,2010,2009-12-29,2010-12-28,91.059,13.854,12.615,90,91,100,50
IN34,2011,2010-12-28,2012-01-03,115.595,12.971,14.993,98,99,100,53
IN34,2012,2012-01-03,2013-01-02,77.292,11.436,8.838,100,100,100,52
IN34,2013,2013-01-02,2013-04-02,20.422,-9.000,-9.000,22,24,99,13
IN34,2014,2013-12-31,2014-12-30,117.119,10.233,11.984,92,100,92,52
IN34,2015,2014-12-30,2015-12-29,110.109,8.262,9.097,91,99,88,52
IN34,2016,2015-12-29,2017-01-03,108.229,7.968,8.623,98,99,100,53
IN34,2017,2017-01-03,2018-01-02,111.963,10.144,11.358,90,100,97,52
IN34,2018,2018-01-02,2019-01-01,106.169,7.640,8.110,86,96,97,50
IN34,2019,2019-03-07,2019-12-31,112.645,-9.000,-9.000,72,82,89,43
IN34,2020,2019-12-31,2020-12-29,93.243,7.759,7.234,88,99,91,52
IN34,2021,2020-12-29,2021-12-28,86.792,8.923,7.744,90,99,90,52
IN34,2022,2021-12-28,2023-01-03,97.282,8.580,8.346,86,99,92,53
KS03,2008,2008-01-02,2008-12-30,75.898,13.225,10.037,86,98,89,50
KS03,2009,2008-12-30,2009-12-28,93.142,11.381,10.600,99,99,100,52
KS03,2010,2009-12-28,2010-12-28,82.575,12.561,10.371,90,92,100,51
KS03,2011,2010-12-28,2012-01-03,83.729,14.890,12.466,98,99,100,51
KS03,2012,2012-01-03,2013-01-02,66.518,16.477,10.960,88,99,79,51
KS03,2013,2013-01-02,2013-12-31,84.502,17.395,14.699,82,99,77,50
KS03,2014,2013-12-31,2014-12-30,79.567,14.996,11.932,93,99,99,49
KS03,2015,2014-12-30,2015-12-29,95.301,14.925,14.223,96,99,98,52
KS03,2016,2015-12-29,2017-01-03,91.923,12.096,11.119,90,99,99,52
KS03,2017,2017-01-03,2018-01-02,68.798,12.001,8.256,89,99,98,49
KS03,2018,2018-01-02,2019-01-02,82.400,12.916,10.642,97,99,92,52
KS03,2019,2019-01-02,2019-12-31,120.029,13.535,16.246,90,99,98,51
KS03,2020,2019-12-31,2020-10-06,70.206,-9.000,-9.000,69,69,100,36
KS04,2008,2008-10-07,2008-12-31,15.275,-9.000,-9.000,23,23,100,12
KS04,2009,2008-12-31,2009-12-29,142.088,10.157,14.432,99,99,100,52
KS04,2010,2009-12-29,2010-12-28,100.016,12.625,12.627,96,99,92,52
KS04,2011,2010-12-28,2012-01-03,98.370,16.979,16.702,95,100,97,52
KS04,2012,2012-01-03,2013-01-01,100.965,11.391,11.501,96,99,99,52
KS04,2013,2013-01-01,2013-12-31,124.130,12.972,16.101,90,100,77,52
KS04,2014,2013-12-31,2014-12-30,81.751,13.848,11.321,96,100,100,52
KS05,2009,2008-12-30,2009-12-29,127.737,11.161,14.255,98,100,100,52
KS05,2010,2009-12-29,2011-01-04,94.816,12.088,11.461,92,96,99,52
KS05,2011,2011-01-04,2012-01-03,82.655,18.986,15.693,91,99,93,52
KS05,2012,2012-01-03,2013-01-02,57.379,14.145,8.116,94,99,100,52
KS05,2013,2013-01-02,2013-12-31,102.413,13.528,13.853,92,99,78,52
KS05,2014,2013-12-31,2014-12-30,76.011,-9.000,-9.000,71,99,88,51
KS05,2015,2014-12-30,2015-12-29,107.827,-9.000,-9.000,74,99,87,52
KS05,2016,2015-12-29,2017-01-03,99.133,11.137,11.040,90,99,99,53
KS05,2017,2017-01-03,2018-01-02,86.487,12.238,10.584,96,99,99,53
KS05,2018,2018-01-02,2019-01-02,109.393,13.292,14.541,91,99,98,51
KS05,2019,2019-01-02,2019-12-31,143.891,11.166,16.067,96,99,100,52
KS05,2020,2019-12-31,2020-12-30,81.407,11.379,9.262,99,99,100,52
KS05,2021,2020-12-30,2021-12-28,111.709,10.416,11.636,94,99,100,53
KS05,2022,2021-12-28,2023-01-03,84.918,13.914,11.815,89,99,94,53
KS24,2008,2008-05-20,2008-12-30,60.439,-9.000,-9.000,57,61,92,32
KS24,2009,2008-12-30,2009-12-29,51.435,17.997,9.256,94,99,99,52
KS24,2010,2009-12-29,2011-01-04,76.759,17.446,13.391,98,99,100,52
KS24,2011,2011-01-04,2012-01-03,83.210,15.222,12.665,96,100,99,51
KS24,2012,2012-01-03,2013-01-02,50.444,15.692,7.915,95,99,99,51
KS24,2013,2013-01-02,2013-12-31,52.603,17.076,8.982,86,99,94,52
KS24,2014,2013-12-31,2014-12-20,56.820,19.204,10.912,85,97,95,51
KS24,2015,2015-01-07,2016-01-06,78.240,12.380,9.686,86,99,99,50
KS24,2016,2016-01-06,2017-01-03,73.048,18.126,13.241,90,99,99,51
KS24,2017,2017-01-03,2018-01-03,54.857,15.822,8.679,84,99,92,52
KS24,2018,2018-01-03,2019-01-02,73.846,12.740,9.408,88,99,97,49
KS24,2019,2019-01-02,2020-01-07,87.034,13.349,11.618,94,99,99,47
KS24,2020,2020-01-07,2020-12-14,70.460,14.098,9.933,85,95,99,45
KS24,2021,2020-12-14,2022-01-04,61.718,11.912,7.352,91,99,99,51
KS24,2022,2022-01-04,2023-01-03,48.390,19.443,9.409,87,98,86,51
KS32,2008,2008-06-10,2008-12-30,32.511,-9.000,-9.000,56,56,100,29
KS32,2009,2008-12-30,2009-12-29,58.801,11.594,6.817,96,99,98,52
KS32,2010,2009-12-29,2010-12-28,46.551,20.774,9.670,99,99,100,53
KS32,2011,2010-12-28,2012-01-03,59.654,14.900,8.888,85,99,92,51
KS32,2012,2012-01-03,2013-01-01,36.017,15.010,5.406,94,99,99,52
KS32,2013,2013-01-01,2013-12-31,46.634,15.614,7.281,94,99,97,52
KS32,2014,2013-12-31,2014-12-30,51.900,18.810,9.762,96,99,98,52
KS32,2015,2014-12-30,2015-12-29,72.644,13.289,9.653,96,99,100,52
KS32,2016,2015-12-29,2017-01-03,45.771,17.069,7.813,92,99,83,54
KS32,2017,2017-01-03,2018-01-02,70.764,11.475,8.120,96,99,100,53
KS32,2018,2018-01-02,2018-12-31,58.115,13.515,7.854,92,99,99,52
KS32,2019,2018-12-31,2019-12-31,54.788,16.614,9.102,94,99,99,51
KS32,2020,2019-12-31,2020-12-29,44.247,18.205,8.055,96,99,96,52
KS32,2021,2020-12-29,2021-12-28,54.051,13.492,7.292,94,99,92,52
KS32,2022,2021-12-28,2023-01-03,30.251,19.598,5.928,96,100,99,53
KS99,2009,2009-01-06,2009-12-29,35.822,13.148,4.710,94,99,99,51
KS99,2010,2009-12-29,2010-12-28,33.514,13.347,4.473,94,99,99,52
KS99,2011,2010-12-28,2012-01-03,27.069,25.649,6.943,84,98,95,51
KS99,2012,2012-01-03,2013-01-02,34.211,19.771,6.763,91,99,92,52
KS99,2013,2013-01-02,2013-12-31,37.033,19.653,7.278,92,99,92,52
KS99,2014,2013-12-31,2014-12-30,36.733,19.407,7.128,94,99,99,52
KY10,2002,2002-08-27,2002-12-31,65.862,-9.000,-9.000,33,34,79,19
KY10,2003,2002-12-31,2003-12-30,130.962,8.624,11.293,94,99,96,52
KY10,2004,2003-12-30,2004-12-28,147.079,7.999,11.765,92,99,98,53
KY10,2005,2004-12-28,2006-01-03,132.030,8.110,10.708,97,99,100,54
KY10,2006,2006-01-03,2007-01-02,128.130,9.119,11.683,95,99,100,52
KY10,2007,2007-01-02,2008-01-01,115.494,8.801,10.165,99,99,100,52
KY10,2008,2008-01-01,2008-12-30,123.304,8.247,10.168,99,99,100,52
KY10,2009,2008-12-30,2009-12-29,154.381,7.832,12.091,99,99,100,52
KY10,2010,2009-12-29,2010-12-28,146.228,7.394,10.811,92,99,93,53
KY10,2011,2010-12-28,2012-01-03,174.473,9.540,16.645,98,99,91,53
KY10,2012,2012-01-03,2013-01-01,114.529,8.577,9.823,97,99,100,52
KY10,2013,2013-01-01,2013-12-31,141.402,7.536,10.655,98,99,99,54
KY10,2014,2013-12-31,2014-12-30,117.323,8.699,10.205,97,99,99,52
KY10,2015,2014-12-30,2015-12-29,156.483,8.038,12.578,99,99,100,53
KY10,2016,2015-12-29,2017-01-03,133.029,7.828,10.412,97,99,100,56
KY10,2017,2017-01-03,2018-01-02,135.179,7.075,9.563,99,99,100,53
KY10,2018,2018-01-02,2018-12-26,145.542,7.503,10.920,97,99,98,51
KY10,2019,2018-12-26,2019-12-31,168.885,7.954,13.433,90,99,91,49
KY10,2020,2019-12-31,2020-12-29,159.182,7.291,11.604,99,99,100,52
KY10,2021,2020-12-29,2021-12-28,175.920,7.731,12.976,96,97,90,50
KY10,2022,2021-12-28,2023-01-03,138.913,8.814,12.244,99,99,96,53
LA05,1998,1998-10-09,1998-12-29,16.587,-9.000,-9.000,22,22,100,12
LA05,1999,1998-12-29,1999-12-28,103.797,12.770,13.255,86,94,95,50
LA05,2000,1999-12-28,2001-01-03,112.684,9.924,11.182,97,97,100,52
LA05,2001,2001-01-03,2002-01-02,173.919,9.552,16.613,98,99,97,52
LA05,2002,2002-01-02,2002-12-31,180.055,-9.000,-9.000,75,99,59,52
LA05,2003,2002-12-31,2003-12-30,99.052,12.222,12.105,90,99,92,51
LA05,2004,2003-12-30,2004-12-28,177.013,11.101,19.650,96,99,100,53
LA05,2005,2004-12-28,2006-01-03,113.135,14.447,16.345,90,99,75,50
LA05,2006,2006-01-03,2007-01-03,139.360,10.340,14.408,96,99,94,52
LA05,2007,2007-01-03,2008-01-02,170.252,9.419,16.036,86,99,86,52
LA05,2008,2008-01-02,2008-12-30,112.146,10.054,11.274,95,99,92,52
LA05,2009,2008-12-30,2009-12-29,178.587,9.511,16.984,97,99,98,52
LA05,2010,2009-12-29,2010-07-13,47.507,-9.000,-9.000,53,53,100,29
LA10,1998,1998-10-08,1998-12-29,45.796,-9.000,-9.000,22,22,100,12
LA10,1999,1998-12-29,1999-12-28,131.529,11.229,14.769,95,99,89,52
LA10,2000,1999-12-28,2001-01-02,110.928,13.918,15.439,91,99,91,53
LA10,2001,2001-01-02,2002-01-02,173.371,10.930,18.949,94,99,96,53
LA10,2002,2002-01-02,2002-12-31,151.867,9.286,14.101,96,99,99,52
LA10,2003,2002-12-31,2003-12-30,138.875,10.547,14.646,96,99,97,52
LA10,2004,2003-12-30,2004-12-28,190.891,11.475,21.903,85,99,90,52
LA10,2005,2004-12-28,2006-01-04,114.660,9.315,10.679,97,99,95,53
LA10,2006,2006-01-04,2007-01-03,167.562,8.672,14.529,97,99,100,52
LA10,2007,2007-01-03,2008-01-02,143.879,10.625,15.286,96,99,98,52
LA10,2008,2008-01-02,2008-12-30,195.771,6.910,13.528,94,99,95,52
LA10,2009,2008-12-30,2009-12-28,149.440,7.486,11.186,99,99,100,52
LA10,2010,2009-12-28,2010-07-13,46.990,-9.000,-9.000,52,54,100,28
LA23,2001,2001-02-01,2002-01-02,156.561,9.986,15.633,84,92,93,49
LA23,2002,2002-01-02,2002-12-30,159.088,8.613,13.702,88,99,87,52
LA23,2003,2002-12-30,2003-12-30,113.947,11.918,13.580,92,99,89,52
LA23,2004,2003-12-30,2004-12-28,171.590,10.347,17.754,94,99,98,53
LA23,2005,2004-12-28,2006-01-03,96.850,9.417,9.119,94,99,92,53
LA23,2006,2006-01-03,2007-01-03,139.987,10.405,14.564,91,99,98,53
LA23,2007,2007-01-03,2008-01-02,134.467,-9.000,-9.000,78,99,71,53
LA23,2008,2008-01-02,2009-01-07,107.951,10.549,11.387,97,99,95,50
